	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL2426780967	1	0	0	0	0	0	0	0	0	0	19	19	L2V1	19	0	88	19	0	0	0	0	25	0	R16	2010-01-26	non_curated
MODEL2427021978	1	0	0	0	0	0	0	0	0	0	19	19	L2V1	19	0	88	19	0	0	0	0	24	0	R16	2010-01-26	non_curated
MODEL2463576061	7	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	222	0	0	0	0	330	0	R16	2010-01-26	non_curated
MODEL2463683119	9	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	469	0	0	0	0	680	0	R16	2010-01-26	non_curated
MODEL2504064544	1	0	4	0	5	9	0	4	0	0	51	51	L2V1	67	80	0	51	7	0	7	0	19	2	R16	2010-01-26	non_curated
MODEL2784700357	3	0	0	0	0	0	0	0	0	0	186	186	L2V3	186	1	744	186	0	0	0	0	209	1	R16	2010-01-26	non_curated
MODEL2937159804	1	0	0	0	0	0	0	0	0	0	14	14	L2V3	14	14	0	14	0	0	0	0	9	0	R16	2010-01-26	non_curated
MODEL3023609334	3	0	0	0	0	0	0	0	0	0	2382	0	L2V1	0	0	11910	2382	0	0	0	0	1972	1	R16	2010-01-26	non_curated
MODEL3023641273	3	0	0	0	0	0	0	0	0	0	2382	0	L2V1	0	0	11910	2382	0	0	0	0	1972	1	R16	2010-01-26	non_curated
MODEL3618435756	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	0	0	0	1406	0	0	0	0	1297	0	R16	2010-01-26	non_curated
MODEL3618487388	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	0	0	0	232	0	0	0	0	255	0	R16	2010-01-26	non_curated
MODEL3631586579	1	0	0	0	0	0	0	0	0	0	850	850	L2V3	850	0	1661	850	0	0	0	0	436	0	R16	2010-01-26	non_curated
MODEL3632127506	2	0	0	0	0	0	0	0	0	0	1750	1750	L2V3	1750	0	3422	1750	0	0	0	0	872	0	R16	2010-01-26	non_curated
MODEL3897771820	1	0	1	1	1	3	0	1	6	0	39	39	L2V1	78	106	0	39	30	0	30	0	30	3	R16	2010-01-26	non_curated
MODEL4028801312	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	3	7	0	0	3	0	1	2	0	3	R16	2010-01-26	non_curated
MODEL4132046015	5	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	534	0	0	0	0	408	0	R16	2010-01-26	non_curated
MODEL4151491057	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	62	113	0	0	62	0	43	19	0	20	R16	2010-01-26	non_curated
MODEL4665428627	2	0	0	0	0	0	0	0	0	0	0	0	L2V3	0	0	0	98	0	0	0	0	61	0	R16	2010-01-26	non_curated
MODEL4780181279	1	0	0	0	0	0	0	0	0	0	11	11	L2V1	11	0	19	11	0	0	0	0	17	3	R16	2010-01-26	non_curated
MODEL4780441670	2	0	0	0	0	0	0	0	0	0	6	6	L2V1	6	0	11	6	0	0	0	0	8	3	R16	2010-01-26	non_curated
MODEL4780784080	2	0	0	0	0	0	0	0	0	0	10	10	L2V1	10	0	16	10	0	0	0	0	14	3	R16	2010-01-26	non_curated
MODEL4816599063	1	0	0	0	0	0	0	0	0	0	8	8	L2V3	9	17	0	8	1	0	1	0	12	3	R16	2010-01-26	non_curated
MODEL4821294342	2	0	0	0	0	0	0	0	0	0	9	9	L2V1	9	0	18	9	0	0	0	0	12	4	R16	2010-01-26	non_curated
MODEL4968912141	2	0	0	0	0	0	0	0	0	0	5	5	L2V1	5	0	10	5	0	0	0	0	8	3	R16	2010-01-26	non_curated
MODEL4992089662	3	0	0	0	0	0	0	0	0	0	36	36	L2V4	39	10	96	36	3	0	3	0	47	13	R16	2010-01-26	non_curated
MODEL5073396359	1	0	0	0	0	0	0	0	0	0	53	53	L2V1	53	0	71	53	0	0	0	0	22	0	R16	2010-01-26	non_curated
MODEL5662324959	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R16	2010-01-26	non_curated
MODEL5662377562	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R16	2010-01-26	non_curated
MODEL5662398146	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R16	2010-01-26	non_curated
MODEL5662425708	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R16	2010-01-26	non_curated
