	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL0479926177	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	4.0	11.0	0.0	0.0	4.0	0.0	1.0	3.0	0.0	3.0	R30	2016-05-10	non_curated
MODEL0491251823	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	15.0	35.0	0.0	0.0	15.0	0.0	1.0	14.0	0.0	4.0	R30	2016-05-10	non_curated
MODEL0568648427	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	33.0	0.0	R30	2016-05-10	non_curated
MODEL0847712949	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	106.0	195.0	0.0	0.0	106.0	0.0	79.0	27.0	0.0	17.0	R30	2016-05-10	non_curated
MODEL0847869198	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	97.0	163.0	0.0	0.0	97.0	0.0	66.0	31.0	0.0	20.0	R30	2016-05-10	non_curated
MODEL0847999575	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	379.0	494.0	0.0	0.0	379.0	0.0	312.0	67.0	0.0	41.0	R30	2016-05-10	non_curated
MODEL0848062679	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	29.0	80.0	0.0	0.0	29.0	0.0	16.0	13.0	0.0	11.0	R30	2016-05-10	non_curated
MODEL0848116681	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	134.0	191.0	0.0	0.0	134.0	0.0	105.0	29.0	0.0	19.0	R30	2016-05-10	non_curated
MODEL0848279215	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	251.0	346.0	0.0	0.0	251.0	0.0	148.0	103.0	0.0	4.0	R30	2016-05-10	non_curated
MODEL0848342500	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	65.0	121.0	0.0	0.0	65.0	0.0	59.0	6.0	0.0	15.0	R30	2016-05-10	non_curated
